mol_smi,bbs_smi
COc1cccc(OC)c1[C@@H]1[C@H]2C[C@@H]2C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)[C@@]2([H])C[C@@]21[H].[*]Cc1ccc(OC(F)(F)F)cc1
CC[C@@H](c1ccc(OC(F)(F)F)cc1)N1C(=O)CCC[C@H]1c1c(OC)cccc1OC,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*][C@@]([H])(CC)c1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cc(OC(F)F)ccn1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cc(OC(F)F)ccn1
COc1cccc(OC)c1[C@@H]1C[C@H](c2ccccc2)CC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(c2ccccc2)CC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
CC[C@@H](c1ccc(OC(F)(F)F)cc1)N1C(=O)[C@@H](C)C[C@H]1c1c(OC)cccc1OC,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*][C@@]([H])(CC)c1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1[C@H]1CCc2ccc(OC(F)(F)F)cc21,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*][C@@]1([H])CCc2ccc(OC(F)(F)F)cc21
COc1cccc(OC)c1[C@@H]1CC(C)(C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CC(C)(C)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2sc(C)nc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2sc(C)nc2c1
COc1cccc(OC)c1[C@@H]1C[C@@H](C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(C)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2ccccc2n1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2ccccc2n1
